181
-1.9008100000,2.7690000000,1.6673400000
-2.0211600000,2.9942500000,1.2064600000
-1.8695500000,3.0342400000,1.1365300000
-1.9514100000,3.0692000000,0.6342740000
-2.6657900000,2.6012500000,0.8261290000
-4.5462600000,0.3708150000,1.2218100000
-3.8777400000,0.8930070000,0.4224770000
-3.6663000000,1.0690100000,0.1146590000
-3.2847100000,1.7488500000,-0.7404660000
-2.9614800000,1.8829200000,-1.4354100000
-2.2684500000,2.8003400000,-0.9024280000
-2.0570200000,3.1374200000,-1.1975700000
-3.5428600000,1.2002200000,-1.2996900000
-4.1664000000,0.3214240000,-0.3818030000
-4.4043000000,0.2178880000,0.1206530000
-2.2030000000,3.1937800000,-1.6114200000
-2.9591700000,1.9403200000,-1.6475100000
-3.5077600000,2.0361400000,-1.6084700000
-3.1190500000,3.3184800000,-1.6928500000
-2.1239000000,4.8003800000,-0.6488410000
-2.0906000000,4.7433300000,-0.8134310000
-3.0158300000,4.7725600000,-0.5040240000
-3.8102200000,3.5108100000,-1.2636500000
-4.1363100000,2.2305000000,-1.1778600000
-4.1731900000,1.4570000000,-0.9880980000
-4.5242800000,0.4477990000,-0.0438590000
-4.5303700000,1.4553300000,-0.2365590000
-4.5299400000,2.5138000000,-0.4813440000
-4.2850100000,3.7863000000,-0.6674380000
0.2694750000,4.6853300000,-0.7159790000
1.2937200000,4.5771200000,-0.6994860000
-0.2140140000,4.6521800000,-0.6844560000
1.5100800000,4.6123500000,-0.3473670000
1.3565200000,4.7277200000,-0.3047280000
1.1969900000,4.8383900000,0.4988570000
1.5516700000,4.5946700000,0.3698860000
1.4058500000,4.4443000000,0.9733970000
0.6236380000,4.5394400000,1.6772000000
0.6252530000,3.5494100000,2.1138700000
-0.1617260000,4.5293900000,1.8044200000
-0.2234970000,3.5595100000,2.4563200000
-0.8684730000,3.5627000000,2.4624000000
-0.7643260000,4.5029500000,1.8070200000
-0.9490130000,4.4973200000,1.8110500000
-1.0587000000,3.5549900000,2.4477200000
-1.0960000000,3.1395100000,2.5665200000
-1.7067200000,2.6636900000,2.7285800000
-1.7527300000,1.7823800000,2.6562500000
-1.6419100000,3.5502400000,2.3851700000
-1.5911300000,4.5631900000,1.7418000000
-2.3173100000,4.9357200000,1.2491900000
-2.3149800000,4.5912300000,1.7543800000
-2.5105800000,3.4868000000,2.2187300000
-2.4609600000,2.5969800000,2.5698000000
-2.2450100000,1.6252800000,2.7169700000
-2.9882600000,1.2693600000,2.6998600000
-3.1427300000,2.4801700000,2.4052800000
-3.1577100000,3.4095200000,2.0806900000
-2.8422400000,4.5301600000,1.6303100000
-2.5921200000,5.0198500000,0.9111180000
-3.7557200000,0.9243240000,2.4017700000
-3.9829500000,2.3076700000,2.1372000000
-3.9715200000,3.3192800000,1.7847200000
-3.7031700000,4.3881800000,1.1875800000
-2.9645900000,4.9758100000,0.2986760000
-4.1136700000,0.7609470000,2.1365300000
-4.3814300000,2.1708500000,1.7474200000
-4.3579600000,3.1532700000,1.3437900000
-3.9586800000,4.2897600000,0.8436110000
-3.0608200000,4.9180200000,0.0975430000
-4.6792800000,0.5741390000,1.1359500000
-4.5506100000,1.8447000000,0.7509160000
-4.6004300000,2.8708900000,0.3809440000
-4.3269100000,4.0110600000,-0.0651640000
0.4543100000,5.0681800000,0.1535310000
0.6054400000,5.0417500000,0.3400640000
-1.7092200000,4.5520400000,-0.9809860000
-1.8345800000,3.2480000000,-1.3022100000
